nome,indirizzo,citta,nazione,lat,lng
Lavaggio STERMANN Rheine,"Daimlerstraße 35-41, 48432 Rheine, Germania",Rheine,Germania,52.3172995,7.4418014
Lavaggio STILE Tortona,"Italia, 15057 Tortona AL, Via Postumia",Tortona,,44.8791994,8.8546645
Lavaggio SYTA EFTCO,"Polígono el Saco, 34, 50172 Alfajarín, Zaragoza, Spagna",Alfajarín,Spagna,41.6093775,-0.6929145
"Lavaggio Székesfehérvár, 62, 8000 Ungheria","Székesfehérvár, 62, 8000 Ungheria",62,,47.181584,18.4714964
Lavaggio Szelence Szabadegyháza,"Szabadegyháza, Ipartelep 0351/29.hrsz, 2432 Ungheria",Ipartelep 0351/29.hrsz,,47.0847644,18.7100956
Lavaggio TACK Zeebrugge,"Galeistraat, Transportzone, 8380 Bruges, Belgio",Bruges,Belgio,51.3119911,3.1859455
LAVAGGIO TANK CLEAN OSTROZEBEKE,"Ingelmunstersteenweg 48, 8780 Oostrozebeke, Belgio",Oostrozebeke,Belgio,50.9197535,3.3168221
Lavaggio Tank en Truck Kampen,"De Greente, Transportstraat 3, 8263 BW Kampen, Paesi Bassi",Kampen,Paesi Bassi,52.567474,5.878642
Lavaggio Timmel Frères,"24 Rte du Rhin, 67930 Beinheim, Francia",Beinheim,Francia,48.853120344125,8.0917274535136
Lavaggio TIR Modena,"Via Vincenzo Brigatti, 8, 41122 Modena MO, Italia",Modena,Italia,44.6678825,10.9385176
Lavaggio Transports Klein Selestat,"D424, 67600 Sélestat, Francia",Sélestat,Francia,48.2574523,7.4245708
Lavaggio Trasport Alaine France,"Boulevard Helensburgh, 79100 Thouars, Francia",Thouars,Francia,46.9951608,-0.1961141
Lavaggio Treviso Mare,"Via Pantiera, 34-42, 31057 Silea TV, Italia",Silea,Italia,45.6452826,12.3292739
LAVAGGIO TRUCK WASH,"Germania, 49451 Holdorf, Dinklager Straße 17",Holdorf,,52.5968521,8.1231693
Lavaggio Truck Wash Pisa,"SS206, 365, 56121 Pisa PI, Italia",Pisa,Italia,43.6659227,10.435138
Lavaggio TS CLEAN BERLIN,"Germania, 14641 Wustermark, Dresdner Stra? 4-10",Wustermark,,52.5654333,12.979329
Lavaggio TS Clean Fahrbinde,"Eichenweg 1, 19288 Rastow, Germania",Rastow,Germania,53.4369576,11.4868133
Lavaggio TS Clean Kavelstorf,"Zur Radewiese 2A, 18196 Kavelstorf, Germania",Kavelstorf,Germania,54.0126984,12.1990768
Lavaggio TS Clean Neudietendorf,"Am Hochheimer See 1, 99192 Neudietendorf, Germania",Neudietendorf,Germania,50.8977973,10.9212924
lavaggio TSVI,"Boulevard Helensburgh, 79100 Thouars, Francia",Thouars,Francia,46.9947211,-0.1955895
Lavaggio Uniroute,"1 Rue du Point du Jour, 21800 Chevigny-Saint-Sauveur, Francia",Chevigny-Saint-Sauveur,Francia,47.2995848,5.1449692
Lavaggio UWEG,"Industriestraße 51, 4600 Wels, Austria",Wels,Austria,48.1580018,14.0462114
Lavaggio Valero Ruiz Silla,"Polígono Industrial Plá dels Olivars, Calle F, 6, 46460 Silla, Valencia, Spagna",Silla,Spagna,39.3663511,-0.4217898
Lavaggio Van De Brug,"Koekamperweg 1, 3882 Putten, Paesi Bassi",Putten,Paesi Bassi,52.2421283,5.6085023
Lavaggio veicoli Manzella San Salvo,"Contrada Piane Sant'Angelo, 220-236, 66050 San Salvo Marina CH, Italia",San Salvo Marina,Italia,42.06227692864,14.767540619198
Lavaggio Verbeken Dendermonde,"Hoogveld 85, Hoogveld, 9200 Dendermonde, Belgio",Dendermonde,Belgio,51.02663,4.1429093
Lavaggio vienna,"Stadlauer Str. 41A, 1220 Wien, Austria",Wien,Austria,48.233114,16.457026
Lavaggio VOS,"3 D383, 69190 Saint-Fons, Francia",Saint-Fons,Francia,45.6995419,4.8459227
Lavaggio Vredeveld Ter Apel Kanaal,"Ambachtsweg 2, 9563 TV Ter Apelkanaal, Paesi Bassi",Ter Apelkanaal,Paesi Bassi,52.9225163,7.0392384
Lavaggio WTR Willich,"Hanns-Martin-Schleyer-Straße 11, 47877 Willich, Germania",Willich,Germania,51.2770927,6.5103548
Lavaggio XPO 60200 Compiègne,"ZAC des Mercières, 9 Chem. d'Armancourt, 60200 Compiègne, Francia",Compiègne,Francia,49.3877993,2.7948845
Lavaggio XPO Tank Cleaning Nord France Semecourt,"Voie Romaine, 57280 Semécourt, Francia",Semécourt,Francia,49.1992995,6.1482924
Lavggio Vaporizados Aguilar,"Pl. Poligono Industrial, 123, 34800 Aguilar de Campoo, Palencia, Spagna",Aguilar de Campoo,Spagna,42.7809504,-4.2498264
LCM LAVAGGIO MALPENSA,"Via Mario Albino Bonicalza, 133A, 21012 Cassano Magnago VA, Italia",Cassano Magnago,Italia,45.6577215,8.8436967
Liverani Faenza,"Via Augusto Righi, 2-10, 48018 Faenza RA, Italia",Faenza,Italia,44.3031145,11.8634248
Lootsma Cleaning Bolsward,"De Klokslag, Hichtumerweg 15, 8701 PG Bolsward, Paesi Bassi",Bolsward,Paesi Bassi,53.071622514962,5.5232232309417
LVI Arcis Sur Aube,"9 Rue du Stand, 10700 Arcis-sur-Aube, Francia",Arcis-sur-Aube,Francia,48.5308611,4.1548773
LVI Fay Aux Loges,"Route sans nom, 45450 Fay-aux-Loges, Francia",Fay-aux-Loges,Francia,47.9124742,2.1446353
LVI Valence,"Avenue de la Condamine, 26800 Valence, Francia",Valence,Francia,44.895972,4.8644201
Lys Service MERVILLE,"46 Rue de Maroeuil, 59660 Merville, Francia",Merville,Francia,50.6267385,2.6410513
"Manugr, Lda","N347 18, 3150 Condeixa-a-Nova, Portogallo",Condeixa-a-Nova,Portogallo,40.1088301,-8.510944
Navarro Lavadero,"Carrer Flassaders, 2, 08130 Santa Perpètua de Mogoda, Barcelona, Spagna",Santa Perpètua de Mogoda,Spagna,41.532291283518,2.1489358141684
OKREGOWA STACJA POBIEDZISKA,"Poznańska 75, 62-010 Pobiedziska, Polonia",62-010 Pobiedziska,Polonia,52.4739655,17.2434887
OTT DEN OUDEN TANKTRANSPORT,"Edisonweg 14A, 2952 AD Alblasserdam, Paesi Bassi",Alblasserdam,Paesi Bassi,51.8583402,4.6661547
PARSDORFER TANKREINIGUNG,"Posthalterring 7, 85599 Vaterstetten, Germania",Vaterstetten,Germania,48.1434533,11.7786676
PROP POIDS LOURDS 38300 Bourgoin-Jallieu,"45 Avenue des Frères Lumière, 38300 Bourgoin-Jallieu, Francia",Bourgoin-Jallieu,Francia,45.5976075,5.2551243
RICOTTO TRASPORTI,"Frazione S. Giovanni, 66, 10068 San Giovanni TO, Italia",San Giovanni,Italia,44.7974078,7.4599546
RISCIACQUO ACQUA PER VINO IL BISONTE,"SR10, 119-115, 10023 Chieri TO, Italia",Chieri,Italia,44.9965841,7.85605
RÖCK Tankreinigung GmbH,"Am Illerfeld 3, 87452 Altusried, Germania",Altusried,Germania,47.797112631219,10.265290733624
"Rudolf-Diesel-Straße 1, 49456 Bakum, Germania","Rudolf-Diesel-Straße 1, 49456 Bakum, Germania",Bakum,Germania,52.725768,8.1768733
RUN TRANS LAVAGGIO,"Przyszłości 15A, 70-893 Szczecin, Polonia",70-893 Szczecin,Polonia,53.3535787,14.748154
SERVICE CENTER WEERT EFTCO,"Leuken Noord, Graafschap Hornelaan 153A, 6001 AC Weert, Paesi Bassi",Weert,Paesi Bassi,51.2635305,5.7259366
SLI natur Carlet,"Carrer Llevant, 17, 46240 Carlet, Valencia, Spagna",Carlet,Spagna,39.2347928,-0.4898888
SMTRT,"50 Rue des Merisiers, 45700 Pannes, Francia",Pannes,Francia,47.9892808,2.6648386
Solavi Fleville,"450 Rue du Champ Moyen, 54710 Fléville-devant-Nancy, Francia",Fléville-devant-Nancy,Francia,48.6166133,6.2127222
SOLO ACQUA PER RISCIACQUO,"Oschitzer Str. 80, 07907 Schleiz, Germania",Schleiz,Germania,50.5720351,11.7929833
Steinkhuler Barby,"Monplaisirstraße 5, 39249 Barby (Elbe), Germania",Barby (Elbe),Germania,51.9856624,11.8702489
Steinkuehler Berlin,"Märkische Allee 32, 14979 Großbeeren, Germania",Großbeeren,Germania,52.370498,13.2983973
STEINKUHLER KREFELD,"Carl-Sonnenschein-Straße 122, 47809 Krefeld, Germania",Krefeld,Germania,51.3463481,6.6466265
STR Tank-Container-Reinigung GmbH,"Bergener Ring 5, 01458 Ottendorf-Okrilla, Germania",Ottendorf-Okrilla,Germania,51.177272,13.8402381
Tank Cleaning Europa Castelmassa Adami,"Via Umberto Saba, 7A, 45035 Castelmassa RO, Italia",Castelmassa,Italia,45.0151202,11.3385063
TANK CLEANING GELDERMALSEN,"De Harpen, 4191 Geldermalsen, Paesi Bassi",Geldermalsen,Paesi Bassi,51.865221150547,5.3187704472971
Tank Cleaning Sint-Oedenrode,"Alfred Nobelstraat 5, 5491 DB Sint-Oedenrode, Paesi Bassi",Sint-Oedenrode,Paesi Bassi,51.5745993,5.4716753
Tank Container Service Botlek !,"Westgeulstraat 6, 3197 LD Botlek Rotterdam, Paesi Bassi",Botlek Rotterdam,Paesi Bassi,51.8785226,4.3242861
Tank Service lavaggio,"255 Avenue Maurice Berteaux, 59430 Saint-Pol-sur-Mer, Francia",Saint-Pol-sur-Mer,Francia,51.0374524,2.3467615
Tank Terminal Gent,,,,51.1183661,3.7747274
Tank Terminal Lokeren,"Dijkstraat 20-24, 9160 Lokeren, Belgio",Lokeren,Belgio,51.0918625,4.025935
Tank Wash A44,,,,51.4028838,9.186684
TankCleaning Van Heyste Aalter,"Venecolaan 58, 9880 Aalter, Belgio",Aalter,Belgio,51.10696727158,3.4516102889549
Ton-Pol sp z o.o.Kobylin 90 05-600 Grójec EFTCO,"Kobylin 90, 05-600, Polonia",05-600,Polonia,51.876444,20.8715378
Top Tank Cleaning / Europaverkere Hammer & Co. Am Eifeltor 4 50997 Köln,"Am Eifeltor 6, 50997 Köln, Germania",Köln,Germania,50.8878776,6.920841
TRANSCLEAN,"Industriestrasse 16, 4617 Gunzgen, Svizzera",Gunzgen,Svizzera,47.3232055,7.829375
TRANSPORTES J.M. CAÑADAS eftco,"Avinguda del Mas Pins, 109, 17457 Riudellots de la Selva, Girona, Spagna",Riudellots de la Selva,Spagna,41.9035808,2.8048138
Transvimon S. L. L'OLLERIA,"Av. del Vidre, 14, 46850 Ollería, Valencia, Spagna",Ollería,Spagna,38.9073912,-0.5258652
TRUCK WASH TATINGEM,"240 Route de Boulogne (Ancien. RN42), 62500 Saint-Martin-lez-Tatinghem, Francia",Saint-Martin-lez-Tatinghem,Francia,50.74035006441,2.1990656471194
TRUCKWASH SAALEMUHLE,"Bernburger Str. 35, 06425 Alsleben (Saale), Germania",Alsleben (Saale),Germania,51.715291,11.6655435
TWS Truck Wash,"König-Georg-Deich 8, 21107 Hamburg, Germania",Hamburg,Germania,53.4774056,9.9958008
VAN OPDORP SAS VAN GENT,"Nijverheidsstraat 2, 4551 LA Sas van Gent, Paesi Bassi",Sas van Gent,Paesi Bassi,51.2417705,3.8094011
VANNAUD SARL,"Z.A. la Forêt, 72470 Champagné, Francia",Champagné,Francia,48.0158798,0.3358185
VAPORIZADOS PALENCIA,"Pol. Ind., 94, 34190 Villamuriel de Cerrato, Palencia, Spagna",Villamuriel de Cerrato,Spagna,41.9395418,-4.5008125
VAPORIZADOS VALERO PINEDA BENIFAIO,"Carrer la Font de l'Almaguer, 10, 46450 Benifaió, Valencia, Spagna",Benifaió,Spagna,39.287573,-0.4484152
Waschross GmbH Sittensen,"Schmiedestraße 4, 27419 Lengenbostel, Germania",Lengenbostel,Germania,53.3005853,9.5065366
Washmobile Heerenveen,"Vulcanus 15, 8448 CH Heerenveen, Paesi Bassi",Heerenveen,Paesi Bassi,52.9753058,5.9482833
WEMMERS LAVAGGIO,"Wervenkampweg 2, 2971 VJ Bleskensgraaf, Paesi Bassi",Bleskensgraaf,Paesi Bassi,51.8691845,4.790859
Wemmers Tank Cleaning Zaandam,"Sluispolderweg 65, 1505 HJ Zaandam, Paesi Bassi",Zaandam,Paesi Bassi,52.419097850298,4.8504826961526
XL Wash Regensburg,"A3, 93055 Regensburg, Germania",Regensburg,Germania,48.9972913,12.1498302
XPO Tank Cleaning Nord France,"71 Rue André Ampère, 44150 Ancenis, Francia",Ancenis,Francia,47.3961848,-1.1910764
Zeni Truck Wash Castenedolo,"Via Sandro Pertini, 16, 25014 Castenedolo BS, Italia",Castenedolo,Italia,45.484730831987,10.325512904849
Zeni Truck Wash Verdello,"SS42, 24049 Verdello BG, Italia",Verdello,Italia,45.5952455,9.6224746
ZI VAUGRIS,"333 Chem. de Halage, 38121 Reventin-Vaugris, Francia",Reventin-Vaugris,Francia,45.4862579747,4.8193919668875
