nome,indirizzo,citta,nazione,lat,lng
ERPC Road Euro Professional Cleaning Courcelles,"Rue de Hainaut 8, 6180 Courcelles, Belgio",Courcelles,Belgio,50.4800265,4.3532354
Espace Poids Lourds ORANGE,"Ancienne Route d'Orange, 84100 Orange, Francia",Orange,Francia,44.1112531,4.8494016
Euro Truck Wash Sittensen,"Hansestraße 10A, 27419 Sittensen, Germania",Sittensen,Germania,53.294086,9.5057398
EURO WASH MARGHERA,"Strada Regionale 11 Padana Superiore, 30176 Venezia VE, Italia",Venezia,Italia,45.4567371,12.2180774
EVEREST LAVAGGIO TYCHY,"Fabryczna 11, 43-100 Tychy, Polonia",43-100 Tychy,Polonia,50.102769,19.0176827
Expert Lavaggi Govone,"Italia, 12040 Govone CN, Zona Industriale",Govone,,44.783441,8.097243
FI-NE Teramostr. 10 87700 Memmingen Germany,"Teramostraße 10, 87700 Memmingen, Germania",Memmingen,Germania,48.0048078,10.1611953
Fi-ne Cleaning Rothis,"Interpark Focus 16, 6832 Röthis, Austria",Röthis,Austria,47.3067611,9.617961
Flaminia Trasporti Spoleto,"Via Giovanni Marcora, 39, 06049 Madonna di Lugo PG, Italia",Madonna di Lugo,Italia,42.7648178,12.7503991
Garajes Dacosta Pontevedra - No Eftco,"Lugar a Rocha, 85, 36418 Atios, Pontevedra, Spagna",Atios,Spagna,42.145133582784,-8.6215730523107
Giezendanner AG Juraweg 26 4852 Rothrist,"Juraweg, 4852 Rothrist, Svizzera",Rothrist,Svizzera,47.3083938,7.878771
GRAFE Hirschfelder Straße 14a 04932 Großthiemig,"L59, 04932 Großthiemig, Germania",Großthiemig,Germania,51.3850553,13.6663933
Greenline 39326 Hohenwarsleben,"Hannoversche Str. 1, 39326 Hohe Börde, Germania",Hohe Börde,Germania,52.1750328,11.4919103
GRIFO LAVAGGI PERUGIA,"Via della Segale, 06135 Perugia, Italia",Perugia,Italia,43.0753206,12.4159869
GTR Langenhagen,"Gleiwitzer Str. 4-8, 30855 Langenhagen, Germania",Langenhagen,Germania,52.432175853442,9.6828817048349
HAMMELMANN ENNIGERLOH,"Am Flachswerk 1, 59320 Ennigerloh, Germania",Ennigerloh,Germania,51.8528835,8.0279205
Hans Jensen Transport A/S,"Klostermarken 1, 9550 Mariager, Danimarca",Mariager,Danimarca,56.6352663,9.9755578
HDK KROKER STUHR,"Im Meer 6, 28816 Stuhr, Germania",Stuhr,Germania,53.00713,8.7023885
HTC Herenthout,"Moerbroek 27-15, 2270 Herenthout, Belgio",Herenthout,Belgio,51.1562431,4.7953465
HUMMER LAVAGGIO,"<span onmouseover=""this.innerHTML = &quot;Gewerbegebiet Badsee, Unkenbachstraße 3, 97497 Dingolshausen, Germania&quot;;"" onmouseout=""this.innerHTML=&quot;Gewerbegebiet Badsee, Unkenbachstraße 3, 97497 Dingolshause...&quot;;"">Gewerbegebiet Badsee, Unkenbac","Dingolshause...&quot;;"">Gewerbegebiet Badsee",,49.9230744,10.4014317
I.C.S. NV CLEANING,"Industrieweg 105, 3583 Beringen, Belgio",Beringen,Belgio,51.052261,5.1787598
Ieperse Truckwash&Tankcleaning,"Sint-Krispijnstraat 13, 8900 Ieper, Belgio",Ieper,Belgio,50.8789406,2.8853896
IOTT LAVAGGIO,"Str. del Portone, 265, 10043 Orbassano TO, Italia",Orbassano,Italia,45.0412566,7.5827986
ITC HOLLAND,"Vorstengrafdonk, 5342 Oss, Paesi Bassi",Oss,Paesi Bassi,51.7349464,5.5606231
iWash Rossi Antegnate,"Via Giancarlo Rossi, 24051 Antegnate BG, Italia",Antegnate,Italia,45.475992962245,9.7915121152744
KFZ-Service Grossenwiehe,"Gewerbegebiet Wiehekrug 2A, 24969 Großenwiehe, Germania",Großenwiehe,Germania,54.706754617388,9.2600939084413
La Savonette Lavaggio,"Le Tillon, 44260 La Chapelle-Launay, Francia",La Chapelle-Launay,Francia,47.381630297743,-1.9683079893753
LANGUEDOC LAVAGE NIMES EFTCO,"215 Rue Charles Tellier, 30000 Nîmes, Francia",Nîmes,Francia,43.8391007,4.4215173
Lav'Aliment Neslè,"D930, 80190 Nesle, Francia",Nesle,Francia,49.7637371,2.9279176
LAVADERO CSLV del Sureste LORQUì,"Av. Juan Carlos I, 1, 30564 Lorquí, Murcia, Spagna",Lorquí,Spagna,38.102152,-1.2318955
Lavadero Europa Carmona,"A-4, 41410, Provincia di Siviglia, Spagna",Provincia di Siviglia,Spagna,37.4529026,-5.7649664
Lavadero Europa Cartagena,"Pasaje Media Legua, 9, 30392 Cartagena, Murcia, Spagna",Cartagena,Spagna,37.6083515,-0.9579073
Lavadero Europa Tarragona,"Carrer del Coure, 1, 43006 Tarragona, Spagna",Tarragona,Spagna,41.1409121,1.2299221
Lavadero Martorell,"N-IIa, 08760 Martorell, Spagna",Martorell,Spagna,41.4922776,1.9106639
Lavaderos Europa Delegación Mérida,"EX-209, 06800 Mérida, Badajoz, Spagna",Mérida,Spagna,38.937575595853,-6.3624772264265
Lavado y Vaporizado Madrid CHIVA,"Ctra. Madrid-Valencia, 70A, 46370 Chiva, Valencia, Spagna",Chiva,Spagna,39.463086762867,-0.72736441008166
Lavados Peña,"Carr. Madrid, 17, 09471 Fuentespina, Burgos, Spagna",Fuentespina,Spagna,41.6307176,-3.6878826
Lavados y Vaporizados Ortega - Villarrobledo,"Calle de Pedro Manuel Vila, 7, 02600 Villarrobledo, Albacete, Spagna",Villarrobledo,Spagna,39.2719931,-2.5929911
LAVAGE POIDS LOURDS AMIENS,"55-29 Rue du Santerre, 80080 Amiens, Francia",Amiens,Francia,49.933550558475,2.2682383670334
Lavage Rhone Alpes,"01360 Balan, Francia",Balan,Francia,45.849274685791,5.1067669715154
Lavaggio Amiens,"27-39 Rue du Bois Quatorze, 80730 Argœuves, Francia",Argœuves,Francia,49.936888,2.2613348
Lavaggio NLA HEUDEBOUVILLE,"Route de Louviers, 27400 Heudebouville, Francia",Heudebouville,Francia,49.1926893,1.2257096
"Lavaggio Rudolf-Diesel-Straße 1, 49456 Bakum,","Rudolf-Diesel-Straße 1, 49456 Bakum, Germania",Bakum,Germania,52.7261412,8.1763677
LAVAGGIO XPO,"Common Ln, Knottingley WF11, Regno Unito",Knottingley WF11,Regno Unito,53.7069605,-1.2294285
Lavaggio 2000 Monopoli,"Strada Statale 16, 70043 Area Produttiva BA, Italia",Area Produttiva,Italia,40.9601182,17.2667934
Lavaggio AArhus,"Vandvejen 5, 8000 Aarhus C, Danimarca",Aarhus C,Danimarca,56.1425116,10.2302598
Lavaggio Alaine Macon,"409 Rue des Frères Lumière, 71000 Mâcon, Francia",Mâcon,Francia,46.2857228,4.821543
Lavaggio Alessandria Sud,"Via Casalcermelli, 98, 15121 Alessandria AL, Italia",Alessandria,Italia,44.8914193,8.602319
Lavaggio Angel Marquez Montilla,"<span onmouseover=""this.innerHTML = &quot;Avenida de Málaga, 40, 14550 Montilla, Provincia di Cordova, Spagna&quot;;"" onmouseout=""this.innerHTML=&quot;Avenida de Málaga, 40, 14550 Montilla, Provincia di Cordova...&quot;;"">Avenida de Málaga, 40, 14550 Mont",40,,37.5650203,-4.6503595
Lavaggio AREA5 Mordano,"Via Selice, 40027 Mordano BO, Italia",Mordano,Italia,44.4058641,11.7598604
Lavaggio AWT CZ BOHUMIN,"Revoluční 1234, 735 81 Bohumín, Repubblica Ceca",81 Bohumín,Repubblica Ceca,49.884802,18.3428526
Lavaggio Baks Borculo,"Jonkerspad 7, Overberkel, 7271 LC Borculo, Paesi Bassi",Borculo,Paesi Bassi,52.1237197,6.5326578
Lavaggio Baltrasa,"Carrer Hostal del Pi, 3, 08630 Abrera, Barcelona, Spagna",Abrera,Spagna,41.5091968,1.8974595
Lavaggio Bellavista Borgo a Buggiano,"Via Livornese, 73, 51011 Buggiano PT, Italia",Buggiano,Italia,43.862156,10.727739
Lavaggio Bianchi Walter Ferentino,"Strada Provinciale 159, 109, 03013 Tofe FR, Italia",Tofe,Italia,41.6915568,13.2310794
Lavaggio Bianconi Martinsicuro,"Via Roma, 64014 Martinsicuro TE, Italia",Martinsicuro,Italia,42.8892686,13.9018851
Lavaggio Boasso Dordrecht,"Buys Ballotstraat 10A, West, 3316 GA Dordrecht, Paesi Bassi",Dordrecht,Paesi Bassi,51.7806426,4.6376711
Lavaggio Borella Verbania,"Via 42 Martiri, 28924 Area Produttiva Stazione Fs VB, Italia",Area Produttiva Stazione Fs,Italia,45.9377571,8.4635185
Lavaggio BTR Ludwigsfelde,"Kastanienweg 6, 14974 Ludwigsfelde, Germania",Ludwigsfelde,Germania,52.3099776,13.2902785
Lavaggio C.i.p.a.a. Popoli,"SP72, 65026 Popoli PE, Italia",Popoli,Italia,42.1575498,13.827576
Lavaggio CAM Concorezzo,"Via Monte Rosa, 20863 Concorezzo MB, Italia",Concorezzo,Italia,45.5967101,9.3199432
Lavaggio Camion,"Via Lungo Chiampo, 76a, 36054 Montebello Vicentino VI, Italia",Montebello Vicentino,Italia,45.4706796,11.384964
LAVAGGIO CAPPELLETTA S.S. 16 KM. 686/400 71100 FOGGIA,"SS16, 71122 Foggia FG, Italia",Foggia,Italia,41.430159286037,15.59542924669
lavaggio Castro Vincenzo,"Via Ofanto, 17, 71042 Cerignola FG, Italia",Cerignola,Italia,41.245979,15.8965498
Lavaggio Cened Vic,"Carretera de Vic a Olot, 08500 Vic, Spagna",Vic,Spagna,41.9537428,2.2788355
Lavaggio Centro de Lavaggio El Valenciano,"Calle de Almuñécar, 18220 Albolote, Spagna",Albolote,Spagna,37.2257247,-3.6444278
Lavaggio Certosa,"Via Enrico Serretta, 2, 20156 Milano, Italia",Milano,Italia,45.5071936,9.1242933
Lavaggio Cerullo,"Via Piante di Cesareo, 421, 84025 Eboli SA, Italia",Eboli,Italia,40.6140467,15.0828387
Lavaggio Cotac,"Impasse de l'Église, 76140 Le Petit-Quevilly, Francia",Le Petit-Quevilly,Francia,49.4327101,1.0437445
Lavaggio Cotac Schkopau,"An der Bober, 06258 Schkopau, Germania",Schkopau,Germania,51.3875365,11.9665637
Lavaggio CSA Amsterdam,"Paesi Bassi, 1043 Amsterdam, Hornweg 48",Amsterdam,,52.4003599,4.8038411
Lavaggio CTI Liverani Germania,"Am Sand 3, 55234 Erbes-Büdesheim, Germania",Erbes-Büdesheim,Germania,49.7618584,8.0244643
LAVAGGIO CURT RICHTER BITTERFELD,"Farbenstraße 6, 06803 Bitterfeld-Wolfen, Germania",Bitterfeld-Wolfen,Germania,51.6456296,12.2885141
Lavaggio Dantra EFTCO,"Vejlevej 7A, 7362 Hampen, Danimarca",Hampen,Danimarca,56.0616451,9.3801528
Lavaggio Dekker Dendermonde,"Vosmeer 14, Hoogveld, 9200 Dendermonde, Belgio",Dendermonde,Belgio,51.0305895,4.132367
LAVAGGIO DEN HARTOG,"Autovia de l'Ametlla, Poígono Industrial Llevant, 08150 Parets del Vallès, Spagna",Parets del Vallès,Spagna,41.5785081,2.2538073
Lavaggio Den Hartog Rotterdam,"Botlekweg 190, 3197 Botlek, Paesi Bassi",Botlek,Paesi Bassi,51.8695351,4.2730113
Lavaggio Desert Transport ETRELLES,"Zone de Piquet, 35370 Étrelles, Francia",Étrelles,Francia,48.0728547,-1.2013523
Lavaggio ECLA Grace Hollogne,"Rue de L'Aêropostale 8, 4460 Grâce-Hollogne, Belgio",Grâce-Hollogne,Belgio,50.6593255,5.4840131
Lavaggio Ecurie EFTCO,"5 Rue de la Chapelle, 62223 Écurie, Francia",Écurie,Francia,50.3266803,2.7650323
Lavaggio Eikelenboom Bergen op Zoom,"Noordland, Bongaertsweg 2A, 4612 Bergen op Zoom, Paesi Bassi",Bergen op Zoom,Paesi Bassi,51.4994368,4.265392
Lavaggio Elpa Novara,"Viale dell'Industria, 3, 28060 Unita' Produttiva NO, Italia",Unita' Produttiva,Italia,45.4520855,8.568815
Lavaggio Ernst Hamburg,,,,53.4709994,9.9149021
Lavaggio Europoort Rotterdam,"Moezelweg 181, 3198 LS Europoort Rotterdam, Paesi Bassi",Europoort Rotterdam,Paesi Bassi,51.9210415,4.1826043
LAVAGGIO FERNLAST,"E30, 38179 Schwülper, Germania",Schwülper,Germania,52.3222203,10.4893686
Lavaggio Ferrando,"Via Piave, 274, 17047 Valle di Vado SV, Italia",Valle di Vado,Italia,44.2594938,8.4093408
Lavaggio Fidel Dreher Stockach,"Industriestraße 15, 78333 Stockach, Germania",Stockach,Germania,47.844279,9.004939
Lavaggio Floratos,"Ma2, Demenika 265 00, Grecia",Demenika 265 00,Grecia,38.197523,21.7460573
Lavaggio Frike,"Albrecht-Thaer-Straße 6, 29439 Lüchow, Germania",Lüchow,Germania,52.9856797,11.1582723
Lavaggio Garage Renault Sete,,,,43.4198418,3.7191194
Lavaggio Gebr.Borg Farmsum,"Paesi Bassi, 9936 Farmsum, Valgenweg 6",Farmsum,,53.3052841,6.9870656
Lavaggio Ghiereke Izegem,"Noordkaai 10-16, 8870 Izegem, Belgio",Izegem,Belgio,50.9266501,3.2026378
Lavaggio H&S Barneveld,"Gildeweg 28, 3771 Esveld, Paesi Bassi",Esveld,Paesi Bassi,52.1664606,5.6041702
LAVAGGIO HANS STACK HAMBURG,"König-Georg-Deich 10, 21109 Amburgo, Germania",Amburgo,Germania,53.4772623,9.9956872
Lavaggio HAUTS DE FRANCE LAVAGE LILLERS,"Rue de l'Artois, 62190 Lillers, Francia",Lillers,Francia,50.5528629,2.4942519
Lavaggio Hermos Alcazar Lorca,"Autovía del Mediterráneo, 30811 Lorca, Murcia, Spagna",Lorca,Spagna,37.634347,-1.7437278
Lavaggio Hnos Alcaraz NO EFTCO,"A-334, 04850 Cantoria, Almería, Spagna",Cantoria,Spagna,37.3768095,-2.2000798
"Lavaggio Hofer,","Rothrist, 4852 Rothrist, Svizzera",Rothrist,Svizzera,47.3133875,7.8940635
Lavaggio Holler Salorno,"SS12, 39040 Salorno BZ, Italia",Salorno,Italia,46.2371279,11.1989298
Lavaggio HTC Seneffe,"Belgio, 7170 Manage, Zoning",Manage,,50.5130264,4.2484657
LAVAGGIO HTR ZEITZ,"Alte Werkstraße, 06712 Zeitz, Germania",Zeitz,Germania,51.05763,12.1227776
Lavaggio Infraserv Francoforte,"Hoechster-Farben-Straße, 65929 Francoforte sul Meno, Germania",Francoforte sul Meno,Germania,50.0935504,8.5227021
Lavaggio Interporto Ronchese Lavaggi - Ronco Scrivia,"A7 - Autostrada dei Giovi, 16019 Ronco Scrivia GE, Italia",Ronco Scrivia,Italia,44.5998586,8.95328
Lavaggio Intertank Fredericia,"C F Tietgens Vej 23, 7000 Fredericia, Danimarca",Fredericia,Danimarca,55.5424066,9.6203808
Lavaggio Ismert,"9001 Rue du Siege, 57690 Créhange, Francia",Créhange,Francia,49.0841606,6.5971886
Lavaggio Jat Kolding,"Mønten 9, 6000 Kolding, Danimarca",Kolding,Danimarca,55.5102789,9.4529531
Lavaggio Karlinger Enns,"Wirtschaftspark Straße 3 3, 4482 Ennsdorf, Austria",Ennsdorf,Austria,48.219637,14.5034595
